TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID
TT00001,U00003,CR00016,25/10/2025,0,PayPal,TC00040
TT00002,U00003,CR00037,13/1/2025,0,PayPal,TC00040
TT00003,U00003,CR00019,28/3/2025,0,Bank Transfer,TC00040
TT00004,U00004,CR00048,2/6/2025,0,Bank Transfer,TC00040
TT00005,U00004,CR00060,10/8/2025,0,PayPal,TC00042
TT00006,U00004,CR00042,30/10/2025,0,Credit Card,TC00042
TT00007,U00004,CR00017,9/5/2025,0,Bank Transfer,TC00042
TT00008,U00004,CR00025,7/5/2025,299.57,Credit Card,TC00040
TT00009,U00013,CR00003,5/10/2025,0,PayPal,TC00040
TT00010,U00013,CR00032,29/9/2025,0,Bank Transfer,TC00040
TT00011,U00013,CR00060,26/11/2025,0,PayPal,TC00042
TT00012,U00013,CR00030,20/1/2025,0,Bank Transfer,TC00042
TT00013,U00013,CR00056,28/8/2025,212.39,Bank Transfer,TC00042
TT00014,U00015,CR00045,27/4/2025,0,PayPal,TC00040
TT00015,U00015,CR00046,19/2/2025,248.1,Bank Transfer,TC00040
TT00016,U00015,CR00040,22/12/2025,327.99,Credit Card,TC00040
TT00017,U00015,CR00019,14/7/2025,0,Bank Transfer,TC00042
TT00018,U00018,CR00046,22/5/2025,248.1,Credit Card,TC00040
TT00019,U00018,CR00047,21/4/2025,89.59,PayPal,TC00040
TT00020,U00018,CR00045,12/1/2025,0,Credit Card,TC00040
TT00021,U00018,CR00001,24/3/2025,472.28,PayPal,TC00042
TT00022,U00018,CR00029,20/1/2025,0,Credit Card,TC00042
TT00023,U00028,CR00040,6/5/2025,327.99,Bank Transfer,TC00042
TT00024,U00028,CR00010,12/8/2025,0,Bank Transfer,TC00042
TT00025,U00028,CR00056,4/3/2025,212.39,Credit Card,TC00040
TT00026,U00028,CR00021,17/4/2025,0,Credit Card,TC00040
TT00027,U00028,CR00031,20/4/2025,0,Bank Transfer,TC00040
TT00028,U00045,CR00043,6/5/2025,0,Credit Card,TC00040
TT00029,U00045,CR00036,28/4/2025,0,PayPal,TC00040
TT00030,U00045,CR00045,10/7/2025,0,Bank Transfer,TC00040
TT00031,U00045,CR00035,27/7/2025,0,Credit Card,TC00040
TT00032,U00048,CR00022,19/11/2025,0,Bank Transfer,TC00040
TT00033,U00048,CR00016,21/3/2025,0,Bank Transfer,TC00040
TT00034,U00048,CR00037,25/5/2025,0,PayPal,TC00040
TT00035,U00048,CR00025,8/5/2025,299.57,Credit Card,TC00040
TT00036,U00055,CR00058,29/4/2025,0,Bank Transfer,TC00040
TT00037,U00055,CR00057,17/5/2025,177.34,PayPal,TC00040
TT00038,U00055,CR00014,21/9/2025,0,Credit Card,TC00040
TT00039,U00055,CR00016,2/6/2025,0,Credit Card,TC00042
TT00040,U00055,CR00051,14/9/2025,37.89,PayPal,TC00042
TT00041,U00071,CR00025,2/3/2025,299.57,Credit Card,TC00042
TT00042,U00071,CR00048,18/3/2025,0,Bank Transfer,TC00042
TT00043,U00071,CR00015,16/10/2025,285.05,Bank Transfer,TC00040
TT00044,U00083,CR00028,8/12/2025,0.78,PayPal,TC00042
TT00045,U00083,CR00054,9/9/2025,0,Bank Transfer,TC00042
TT00046,U00083,CR00044,21/9/2025,119.04,Credit Card,TC00040
TT00047,U00083,CR00040,15/11/2025,327.99,PayPal,TC00040
TT00048,U00085,CR00035,11/11/2025,0,Bank Transfer,TC00040
TT00049,U00085,CR00053,15/6/2025,0,Credit Card,TC00040
TT00050,U00085,CR00002,1/3/2025,0,Credit Card,TC00042
TT00051,U00109,CR00002,26/4/2025,0,PayPal,TC00040
TT00052,U00109,CR00023,11/2/2025,0,Credit Card,TC00040
TT00053,U00109,CR00054,21/2/2025,0,Credit Card,TC00040
TT00054,U00112,CR00024,21/10/2025,117.68,PayPal,TC00042
TT00055,U00112,CR00036,7/4/2025,0,PayPal,TC00040
TT00056,U00112,CR00007,22/2/2025,0,PayPal,TC00040
TT00057,U00112,CR00016,5/6/2025,0,Bank Transfer,TC00042
TT00058,U00112,CR00023,25/2/2025,0,PayPal,TC00040
TT00059,U00117,CR00008,15/10/2025,0,PayPal,TC00042
TT00060,U00117,CR00027,3/8/2025,0,Credit Card,TC00042
TT00061,U00117,CR00001,28/11/2025,472.28,PayPal,TC00040
TT00062,U00126,CR00060,17/7/2025,0,PayPal,TC00042
TT00063,U00126,CR00036,1/10/2025,0,Credit Card,TC00042
TT00064,U00126,CR00050,6/1/2025,490.9,Bank Transfer,TC00042
TT00065,U00126,CR00028,16/4/2025,0.78,Credit Card,TC00042
TT00066,U00128,CR00027,21/2/2025,0,Credit Card,TC00042
TT00067,U00128,CR00054,10/12/2025,0,PayPal,TC00042
TT00068,U00128,CR00050,3/1/2025,490.9,Credit Card,TC00040
